Date,Score(%),Article
2022-12-06,-7.22,國民黨今（6）日舉行記者會，踢爆中鋼、中油、漢翔、台灣國際造船公司等國營事業，赴陸登記用「中國台灣」，控訴民進黨雙標。對此，經濟部稍早回應，政府並不接受此矮化做法，已多次向對岸窗口反應，但陸方仍以「逕行更改我方申請人名稱」或「專利申請案不予受理或核駁」的方式來要求我國的專利申請者，呼籲國民黨應共同譴責對岸刻意矮化台灣的做法。
2023-01-28,-1.67,企業追求2050淨零排碳，座落在高雄的中鋼，聯合周邊石化產業，打造「鋼化聯產」實驗先導線，將鍊鋼產生的一氣化碳、二氧化碳，直接送進化工廠，進而製造化學品，跨業合作，不儘達到減碳效果，還可以創造經濟產值。
2023-01-30,2.17,春節期間國際原料行情小幅走揚，激勵鋼鐵類股在農曆兔年紅盤日上漲2.43%。中鋼董事長翁朝棟分析，下游庫存逐漸去化，訂單轉趨積極，預估產業第2季表現看好，上半年審慎樂觀。
2023-02-24,3.85,鋼鐵股龍頭中鋼（2002）今（24）日董事會通過，去（2022）年度分配特別股股息每股現金1.4元、普通股股息每股現金1元，股利現金配發率為87%，預計將提報今（2023）年股東常會通過。
2023-03-25,-3.97,主演漫威系列中鋼鐵人角色爆紅的小勞勃道尼（Robert Downey Jr.），在完成2020年《杜立德》（Dolittle）後就沒有推出新作品，睽違3年之後終於強勢回歸，綜合外媒報導，以光頭造型引起粉絲驚豔，小勞勃道尼剛回歸就片約邀請不斷，包含已在拍攝製作中的《奧本海默》（Oppenheimer）、《福爾摩斯3》等電影，派拉蒙影業（Paramount Pictures）也遞出橄欖枝，希望由他主演、名導演希區考克（Alfred Hitchcock）的經典驚悚片《迷魂記》（Vertigo）。
2023-04-14,-4.76,今（14日）晚熱搜關鍵字為「玖壹壹」。本土天團玖壹壹睽違5年，明（15）日將站上台北小巨蛋開唱，怎料成員春風昨（13）日突在IG上發黑白照，悲痛寫下「來世再見」，原來是在悼念結拜二哥。據悉，春風的二哥12日深夜疑和妻子起爭執，一氣之下舉槍自戕送醫不治。以下為最受網友歡迎、點閱率最高的5則新聞。備受關注中鋼紀念品出爐，中鋼今天宣布今年將推出「傘Ｑ（Thank you）」雨傘，傘骨選用中鋼生產的線材及冷軋鋼，並搭配玻璃纖維，承載天候考驗，抗風耐雨，展現「韌性中鋼」特質。
2023-04-26,-9.46,新北五股觀音坑溪橋自行車道，上周五才發生斷橋意外，造成3名工人受傷，結果前天(4/24)，現場在進行鋼樑吊運作業，因為沒把鋼索固定好，加上吊掛物下沒淨空，過程中鋼索滑落甩飛，擊中一名站在下方的工人，同一條鋼索釀四傷，而意外發生後再度被要求停工。
2023-05-24,-3.52,股東會紀念品，每年都話題度超高，今年開發金控發放的「不鏽鋼晶鑽杯」跟宏達電的「抗UV機能帽」，實用性都很高，開放領取沒多久，都傳出缺貨問題，但強調都有陸續配貨，股東們依定都能領到，至於，今天也開始發放股東會紀念品的中鋼，推出的是一把藍色雨傘被稱為「傘Q」，有人7點就先排隊卡位，因為果然一開放，兌換處大排長龍。每年中鋼發放的股東紀念品都備受關注，今年的紀念品「傘Q」，也於今（24）日在各縣市的指定地點發送，高雄就有不少股東，一早頂著30度左右的高溫，到苓雅區的國軍英雄館外頭排隊，人龍拉個100多公尺，相當壯觀，但不少股東為了領紀念品，汽、機車隨處亂停，警方也到場場驅離，維持交通秩序，截至中午12點，共開出15張罰單。中鋼（2002）今（24）日開始發放2023年股東會紀念品「傘Q」，首先由持股1000股以上的股東領取，後續也會發送給持有1至999股的股東領取。中鋼擁有近116萬名股東，紀念品領取現場人潮洶湧，只見大批股東拿著開會通知書前往兌領，不僅大排長龍，一等就是1小時，還有人從早上7點就到現場等候。
2023-06-07,-6.41,台積電被譽為九年級生心目中的夢幻企業，不過工時長也是事實，對此董事長劉德音則認為，不願意值班的人就不要進來，但其實有許多傳產及高科技產業，都必須要輪夜班，而近期公開徵才的中鋼也引發話題，根據數據顯示，2021年非主管職的平均薪資，中鋼高達236萬元，勝過台積電。
2023-06-08,-2.27,高雄檢廉破獲國營事業舞弊集團，中油黃姓員工主導的槍手集團2年幫20多名考生考進，黃男一審遭依詐欺罪判3年半，中鋼另求償160萬，但法官認為並無實質損失判決中鋼敗訴。
2023-07-10,-4.48,墾丁南灣，有一場暑假帆船體驗活動中，發生了一起驚心動魄的事件。一名家長帶著7名小朋友參加無動力帆船體驗，由船長帶領出發，途中鋼索突然斷裂，一行人在海上一度陷入困境。幸好，他們距離岸邊僅200米，海巡守望人員發現並及時通報，協助脫困。
2023-08-09,-1.45,「2023高雄國際夏令營」帶領國際青年深入高雄，7日走訪高雄最早興起的哈瑪星地區城市歷史軌跡，8日則走讀鹽埕周邊、駁二藝術特區、中鋼總部大樓、亞灣遊艇碼頭及高雄軟體園區，實地瞭解高雄舊城活化、港區再造、綠色建築等落實城市永續發展的過程跟成果。
2023-08-10,-11.63,高雄連日豪雨不斷，今（10日）上午中鋼機械公司前方台機路，驚傳有路樹倒塌砸到機車騎士，警方獲報後即派員前往並將張姓機車騎士緊急送醫，所幸並無大礙。
2023-08-14,-16.18,中國大陸湖南驚傳表演意外，3名年輕的特技演員應邀至某超市，為重新開幕的活動表演助陣，沒想到卻在途中鋼索意外斷裂，導致當時已經被吊在空中的3人同時下墜、接著就重重砸向地面疑昏迷不醒，嚇人瞬間也全被側錄民眾拍下，所幸送醫後均無大礙。
2023-08-16,-12.7,近日，一起假冒知名企業名義的詐騙案件，引起關注！一名19歲許姓女子，以車手身分參與騙局，身上的證件竟全是偽造的。該女子與被害婦人約定面交，試圖騙取了高達130萬台幣的巨額款項，差點害得對方畢生積蓄，通通交付給詐騙集團。
2023-09-17,-4.44,歐盟將試行碳邊境調整機制，課徵碳關稅，台灣則通過氣候變遷因應法，鎖定溫室氣體年排放2.5萬噸的碳排大戶，將在2025年，繳交第一筆碳費，這讓不少大戶出現「碳焦慮」。以排放量動輒近兩千萬噸的中鋼為例，以鋼化聯產和大量使用廢鋼等策略，目標要達成2030年減碳25%。另一方面，同樣也是大戶的計程車隊，則提高使用節能減碳車的數量，減少碳排。
2023-10-14,-4.44,台中發生討債槍擊事件，嫌犯疑似積欠12萬債款，原本跟債權人約好雙方面交現金，結果嫌犯一現身，不講話直接朝對方開槍，被害人手臂中鋼珠彈，警方6小時內逮到四名嫌犯。
2023-11-23,-1.47,"康舒（6282）今在外資賣出1萬2648張，居賣超第1名（資料照）〔財經頻道／綜合報導〕外資今（23日）雖然再反手買超台股，小買13.68億元，但卻持續調節電子與傳產股，其中又以康舒（6282）賣超最重，今一口氣賣出1萬2648張，居賣超第1名；至於持續受青睞則是開發金（2883），今再買超3萬8119張，居買超之冠。康舒在昨三大法人同步站在買方，大買1萬397張下，及買盤一同追價下，股價一度觸及漲停44.75元，終場雖未以漲停作收，但仍上漲8.35%，收44.1元，成交量爆出10.76萬張大量，而今股價持續開高，以44.25元，上漲0.34%開出，在買盤追價下，股價開高走高，觸及45.85元，創9月13日以來新高。請繼續往下閱讀...隨著股價創波高，逢高賣單釋出，股價一路往下拉回，一度觸及43.6元，終場雖未收最低，但收在相對低點，以43.75元作收，跌0.79%，成交量爆出11萬6219張，創下史上第6大成交量，而今股價爆量下殺的兇手則是外資，今一口氣 大賣1萬2648張，衝到賣超第1大。至於外資賣超第2至第10大個股，依序為緯創（3231）賣1萬1707張、工信（5521）賣9322張、亞翔（6139）賣5759張、聯電（2303）賣5343張、飛宏（2457）賣5198張、矽統（2363）賣5150張、統一（1216）賣5056張、台泥（1101）賣4874張、定穎投控（3715）賣4010張。而買超前10大個股，依序為開發金買3萬8119張、宏碁（2353）買2萬4986張、長榮航（2618）買1萬3404張、南亞科（2408）買9886張、中鋼（2002）買7314張、中信金（2891）買6948張、國泰金（2882）買5508張、中工（2515）買5303張、東元（1504）買5058張、華新（1605）買5048張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法投信已連3天賣超開發金，且賣超力道加劇，3天就砍出10萬1904張。（資料照）〔財經頻道／綜合報導〕投信已連3天賣超台股，而最大苦主則是開發金（2883）與中鋼（2003），根據交所資料顯示，投信連3天賣超逾萬張的個股，只有開發金與中鋼，其中又以開發金最慘烈，已連3天居賣超王，今（23日）再賣出4萬3374張，而中鋼則緊跟在後，今亦遭賣出，1張8545張。投信已連3天賣超開發金，且賣超力道加劇，從週二砍出2萬4499張，昨再賣3萬4031張，今再變本加厲，殺出4萬3374張，3天就砍出10萬1904張。請繼續往下閱讀...而同樣遭投信下毒手者，還有中鋼，從週二賣1萬579張，到昨再賣1萬4713張，而今再下重手，再賣1張8545張，居賣第2大，累計3天賣出4萬3837張。至於投信今賣超第3大至10大，依序為宏碁（2353）賣1萬8363張、廣達（2382）賣6270張、緯創（3231）賣5346張、南亞科（2408）賣5048張、英業達（2356）賣1868張、大聯大（3702）賣1333張、華碩（2357）賣967張、京元電（2449）賣879張。至於買超前10大，依序為聯電（2303）買1萬7346張、統一（1216）買8499張、台泥（1101）買5320張、遠東新（1402）買4593張、第一金（2892）買4070張、永豐金（2890）買2942張、上海商銀（5876）買2743張、南亞（1303）買2481張、中信金（2891）買2367張、仁寶（2324）買2170張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法在投信持續砍出下，中鋼（2002）今（23）日早盤股價走弱。（資料照）〔財經頻道／綜合報導〕中鋼（2002）本週雖面臨投信站在賣方，賣出2萬5427張，但外資卻力挺下，股價並未受影響，而是拉出連對3紅，股價來到波高，但內資並不買單，今在投資人持續賣出下，股價開低走低，觸及25.35元，跌破5日線，朝季線回測，截至10點51分，下跌1.36％，暫報25.45元，成交量逾2.23萬張。基本面來看，中鋼推動國產化及智能創新成效卓越，目前累計已完成370多件國產替代進口專案，加上AI智慧製造助陣，大幅降低營運成本，累計節省逾3.8億元之營運成本。請繼續往下閱讀...中鋼表示，未來將持續推動國產化，並朝向精緻智慧鋼廠邁進。另外，中鋼今年也成立「數位轉型推動小組」，在營運、生產及設備等三大領域規劃智能化系統，陸續導入AI智慧製造及開發成功案例，液壓系統智慧化方面則結合專業技法及廣義迴歸類神經網路等AI技術。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法"
2023-11-23,-1.47,"康舒（6282）今在外資賣出1萬2648張，居賣超第1名（資料照）〔財經頻道／綜合報導〕外資今（23日）雖然再反手買超台股，小買13.68億元，但卻持續調節電子與傳產股，其中又以康舒（6282）賣超最重，今一口氣賣出1萬2648張，居賣超第1名；至於持續受青睞則是開發金（2883），今再買超3萬8119張，居買超之冠。康舒在昨三大法人同步站在買方，大買1萬397張下，及買盤一同追價下，股價一度觸及漲停44.75元，終場雖未以漲停作收，但仍上漲8.35%，收44.1元，成交量爆出10.76萬張大量，而今股價持續開高，以44.25元，上漲0.34%開出，在買盤追價下，股價開高走高，觸及45.85元，創9月13日以來新高。請繼續往下閱讀...隨著股價創波高，逢高賣單釋出，股價一路往下拉回，一度觸及43.6元，終場雖未收最低，但收在相對低點，以43.75元作收，跌0.79%，成交量爆出11萬6219張，創下史上第6大成交量，而今股價爆量下殺的兇手則是外資，今一口氣 大賣1萬2648張，衝到賣超第1大。至於外資賣超第2至第10大個股，依序為緯創（3231）賣1萬1707張、工信（5521）賣9322張、亞翔（6139）賣5759張、聯電（2303）賣5343張、飛宏（2457）賣5198張、矽統（2363）賣5150張、統一（1216）賣5056張、台泥（1101）賣4874張、定穎投控（3715）賣4010張。而買超前10大個股，依序為開發金買3萬8119張、宏碁（2353）買2萬4986張、長榮航（2618）買1萬3404張、南亞科（2408）買9886張、中鋼（2002）買7314張、中信金（2891）買6948張、國泰金（2882）買5508張、中工（2515）買5303張、東元（1504）買5058張、華新（1605）買5048張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法投信已連3天賣超開發金，且賣超力道加劇，3天就砍出10萬1904張。（資料照）〔財經頻道／綜合報導〕投信已連3天賣超台股，而最大苦主則是開發金（2883）與中鋼（2003），根據交所資料顯示，投信連3天賣超逾萬張的個股，只有開發金與中鋼，其中又以開發金最慘烈，已連3天居賣超王，今（23日）再賣出4萬3374張，而中鋼則緊跟在後，今亦遭賣出，1張8545張。投信已連3天賣超開發金，且賣超力道加劇，從週二砍出2萬4499張，昨再賣3萬4031張，今再變本加厲，殺出4萬3374張，3天就砍出10萬1904張。請繼續往下閱讀...而同樣遭投信下毒手者，還有中鋼，從週二賣1萬579張，到昨再賣1萬4713張，而今再下重手，再賣1張8545張，居賣第2大，累計3天賣出4萬3837張。至於投信今賣超第3大至10大，依序為宏碁（2353）賣1萬8363張、廣達（2382）賣6270張、緯創（3231）賣5346張、南亞科（2408）賣5048張、英業達（2356）賣1868張、大聯大（3702）賣1333張、華碩（2357）賣967張、京元電（2449）賣879張。至於買超前10大，依序為聯電（2303）買1萬7346張、統一（1216）買8499張、台泥（1101）買5320張、遠東新（1402）買4593張、第一金（2892）買4070張、永豐金（2890）買2942張、上海商銀（5876）買2743張、南亞（1303）買2481張、中信金（2891）買2367張、仁寶（2324）買2170張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法在投信持續砍出下，中鋼（2002）今（23）日早盤股價走弱。（資料照）〔財經頻道／綜合報導〕中鋼（2002）本週雖面臨投信站在賣方，賣出2萬5427張，但外資卻力挺下，股價並未受影響，而是拉出連對3紅，股價來到波高，但內資並不買單，今在投資人持續賣出下，股價開低走低，觸及25.35元，跌破5日線，朝季線回測，截至10點51分，下跌1.36％，暫報25.45元，成交量逾2.23萬張。基本面來看，中鋼推動國產化及智能創新成效卓越，目前累計已完成370多件國產替代進口專案，加上AI智慧製造助陣，大幅降低營運成本，累計節省逾3.8億元之營運成本。請繼續往下閱讀...中鋼表示，未來將持續推動國產化，並朝向精緻智慧鋼廠邁進。另外，中鋼今年也成立「數位轉型推動小組」，在營運、生產及設備等三大領域規劃智能化系統，陸續導入AI智慧製造及開發成功案例，液壓系統智慧化方面則結合專業技法及廣義迴歸類神經網路等AI技術。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
"
2023-11-24,0.42,"外資今買超開發金（2883）6萬5239張，4天共買進18萬297張。（資料照）〔財經頻道／綜合報導〕外資今（24日）再買34.4億元，連2日回補，並積極加碼金融股，今買超前10大，金融就佔了一半，其中，又以開發金（2883）最吸金，外資今再買超6萬5239張，居買超王，且已連4買，共買進18萬297張。外資今買超前10大個股，依序為開發金買6萬5239張、中鋼（2002）買1萬8606張、宏碁（2353）買1萬5236張、中信金（2891）1萬181張、元大金（2885）買6964張、虹堡（5258）買3657張、大聯大（3702）買3639張、燿華（2367）買3174張、台企銀（2834）買3064張、玉山金（2884）買2996張。請繼續往下閱讀...至於賣超前10大個股，依序為長榮航（2618）賣2萬9864張、華航（2610）賣1萬5728張、晶豪科（3006）賣7642張、英業達（2356）賣5649張、中工（2515）賣5345張、統一（1216）賣5196張、新光金（2888）賣4050張、大亞（1609）賣3707張、遠東新（1402）賣3653張、鴻海（2317）賣3270張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法投信重擊中鋼，今賣出1萬8721張，連4日賣超皆在萬張之上，累計賣逾6.25萬張。（資料照）〔財經頻道／綜合報導〕投信已連4天賣超台股，今（24日）再賣4.8億，而受傷最重則非開發金（2883）莫屬，已連4天遭投信瘋狂殺出，且天天居賣超榜首，今再砍4萬3438張，除了開發金難逃投信魔掌外，中鋼（2002）也是苦主，今遭賣出1萬8721張，不僅遭連6天，更連4日賣超皆在萬張之上，累計賣逾6.25萬張。投信今賣超前10大個股，依序為開發金賣4萬3438張、宏碁（2353）賣1萬8920張、中鋼賣1萬8721、廣達（2382）賣5220張、南亞科（2408）賣4979張、長榮航（2618）賣4213張、緯創（3231）賣2296張、晶豪科（3006）賣1245張、雄獅（2731）賣964張、台光電（2383）賣912張。請繼續往下閱讀...至於買超前10大個股，依序為聯電（2303）買1萬3819張、統一（1216）買7456張、台泥（1101）買4471張、遠東新（1402）買4015張、第一金（2892）買3147張、上海商銀（5876）買2341張、南亞（1303）買1942張、遠傳（4904）買1647張、台灣大（3045）買1471張、飛宏（2457）買1395張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
"
2023-11-24,0.43,"外資今買超開發金（2883）6萬5239張，4天共買進18萬297張。（資料照）〔財經頻道／綜合報導〕外資今（24日）再買34.4億元，連2日回補，並積極加碼金融股，今買超前10大，金融就佔了一半，其中，又以開發金（2883）最吸金，外資今再買超6萬5239張，居買超王，且已連4買，共買進18萬297張。外資今買超前10大個股，依序為開發金買6萬5239張、中鋼（2002）買1萬8606張、宏碁（2353）買1萬5236張、中信金（2891）1萬181張、元大金（2885）買6964張、虹堡（5258）買3657張、大聯大（3702）買3639張、燿華（2367）買3174張、台企銀（2834）買3064張、玉山金（2884）買2996張。請繼續往下閱讀...至於賣超前10大個股，依序為長榮航（2618）賣2萬9864張、華航（2610）賣1萬5728張、晶豪科（3006）賣7642張、英業達（2356）賣5649張、中工（2515）賣5345張、統一（1216）賣5196張、新光金（2888）賣4050張、大亞（1609）賣3707張、遠東新（1402）賣3653張、鴻海（2317）賣3270張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法投信重擊中鋼，今賣出1萬8721張，連4日賣超皆在萬張之上，累計賣逾6.25萬張。（資料照）〔財經頻道／綜合報導〕投信已連4天賣超台股，今（24日）再賣4.8億，而受傷最重則非開發金（2883）莫屬，已連4天遭投信瘋狂殺出，且天天居賣超榜首，今再砍4萬3438張，除了開發金難逃投信魔掌外，中鋼（2002）也是苦主，今遭賣出1萬8721張，不僅遭連6天，更連4日賣超皆在萬張之上，累計賣逾6.25萬張。投信今賣超前10大個股，依序為開發金賣4萬3438張、宏碁（2353）賣1萬8920張、中鋼賣1萬8721、廣達（2382）賣5220張、南亞科（2408）賣4979張、長榮航（2618）賣4213張、緯創（3231）賣2296張、晶豪科（3006）賣1245張、雄獅（2731）賣964張、台光電（2383）賣912張。請繼續往下閱讀...至於買超前10大個股，依序為聯電（2303）買1萬3819張、統一（1216）買7456張、台泥（1101）買4471張、遠東新（1402）買4015張、第一金（2892）買3147張、上海商銀（5876）買2341張、南亞（1303）買1942張、遠傳（4904）買1647張、台灣大（3045）買1471張、飛宏（2457）買1395張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法"
2023-11-27,0.28,"外資今大買中鋼（2002），一口氣買進2萬8466張，創下今年來，單日最大量（資料照）〔財經頻道／綜合報導〕外資資金流向傳產股，今（27日）買超前10大，傳產股就佔了5席，其中又以中鋼（2002）最吸金，一口氣買進2萬8466張，創下今年來，單日最大量，同時也連5天加碼，買進7萬9102張，至於投信則連7砍，今再賣出1萬8680張，持續上演土洋大對作戲碼，但在外資買超遠大於投信賣超下，中鋼股價續揚，今收26.15元，漲0.97%。外資今買超前10大個股，依序為中鋼買2萬8466張、宏碁（2353）買1萬3288張、中信金（2891）買1萬1468張、華泰（2329）買9458張、元大金（2885）買6497張、南亞科（2408）買5844張、裕民（2606）買4030張、長榮航（2618）買3949張、華新（1605）買3873張、正新（2105）買3342張。請繼續往下閱讀...至於賣超前10大個股，依序為聯電（2303）賣1萬2543張、緯創（3231）賣1萬2173張、英業達（2356）賣7634張、華航（2610）賣6761張、漢翔（2634）賣5132張、統一（1216）賣4889張、鴻海（2317）賣4453張、士電（1503）賣4053張、群創（3481）賣3917張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法投信傳產最愛統一，累計買超張數更達2萬9337張（資料照）〔財經頻道／綜合報導〕投信已連5天賣超台股，卻大舉佈局傳產股，其中又以統一（1216）最吸金，已連4天獲投信青睞，今（27日）再買超7429張，不僅連4天穩居買超第2大，累計買超張數更達2萬9337張；至於最大苦主依舊是開發金（2883）遭投信連5天大殺出，今再賣出4萬3374張。投信今日買超前10大個股，依序為聯電（2303）買1萬3348張、統一買7429張、台泥（1101）買4361張、遠東新（1402）買4136張、華通（2313）買3179張、第一金（2891）買3040張、中鴻（2014）買2979張、上海商銀（5876）買2405張、南亞（1303）買1899張、遠傳（4904）買1664張。請繼續往下閱讀...至於賣超前10個股，依序為開發金（2883）遭投信連5天大殺出，今再賣出4萬3374張、中鋼（2002）賣1萬8680張、宏碁（2353）賣1萬8573張、緯創（3231）賣8026張、廣達（2382）賣7562張、南亞科（2408）賣4901張、京元電（2449）賣1370張、華孚（6235）賣1367張、英業達（2356）賣1226張、台光電（2383）賣1032張。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
"
