Date,Score(%),Article
2022-06-14,-0.83,雄獅集團今天宣布以宙獅計畫（Metalion）為名正式進軍元宇宙，積極搶進新世代旅遊社群市場，30日首度發行宙獅咖啡卡NFT，限量400顆。新冠肺炎（COVID-19）疫情肆虐，海嘯第一排重創最慘就屬觀光旅遊業，彷彿進入冰河時期，然而隨著全球疫苗覆蓋率提升，各國陸續開放觀光，以「與病毒共存」拚觀光似乎成了世界走向，何時開放邊境成為熱議話提，國內受重創的觀光旅遊產業引頸企盼，圓山大飯店總經理楊守毅表示「準備好了」，盼重迎外國遊客的那一天。
2022-06-17,-4.55,雄獅旅行社（2731）16日股東會通過2021年財報及虧損撥補案，董事長王文傑表示，邊境管制可望鬆綁、觀光旅遊業復甦在望，雄獅已著手按產品、業務、通路等面向布局未來10年，並針對國內的食、宿、遊、購、行深耕轉型。
2022-06-27,-5.13,"雖然全球各地陸續解封，但是因為油價、通貨膨脹等因素機票價格不斷上漲，不過雄獅旅行社瞄準土耳其即日起放寬國境管制，攜手土耳其航空推出土耳其機加酒商品，旅客將搭乘土耳其航空直飛伊斯坦堡，包含全程入住五星飯店住宿及伊斯坦堡至卡帕多其亞的國內線來回班機，且每人59,900元起（含稅簽），相較2019年價格持平。"
2022-07-06,-14.29,疫情對旅遊業造成相當嚴重的衝擊，但危機也是轉機，對雄獅旅遊來說，現在正是加速轉型升級的最好時機。
2022-07-08,1.63,AsiaYo 是2013年成立的OTA（Online Travel Agency線上旅遊業），以科技資源打造最符合旅客需求的介面，並以特色房源物件做出市場差異化，AsiaYo 在2022實行新一輪融資計畫，受到投資人極大響應，共募得1250萬美元資金，包含業界領導性品牌如雄獅旅遊、Klook、阿里巴巴台灣創業者基金、濤略資本、中華開發、達盈管顧旗下創投、基石創投等。隨著各國邊境解封，激勵機票銷售業績谷底反彈，泰國7月1日起放寬入境規定，據雄獅旅遊觀察，6月東南亞機票銷售量較5月成長57%。
2022-07-15,-4.13,2022台北國際夏季旅展今（15）日至18日於台北世貿一館舉行，雄獅集團旗下品牌「旅天下」今年以「真世界 真旅行」為主題參展，除豐富且多元的國內外旅遊商品外，另提供國外團體旅遊行程及售價，包含日本、韓國、泰國、歐洲、美國、紐澳等國家，皆有不同的特色主題行程，有興趣的旅客留下資料搶先卡位，待開放團體旅遊即可在第一時間收到開賣資訊。同時，線上旅展也自即日起開跑，不管要預約飛國外，還是深度玩台灣都可規劃下半年旅遊計畫。
2022-07-18,-3.92,永續旅遊成趨勢，雄獅一年提供旅客的瓶裝水，堆起來的高度達157座101大樓，從今年地球日開始，雄獅已不供旅客瓶裝水；雲品酒店也友善地球，一年就節省19萬瓶寶特瓶水、17萬個備品。
2022-07-20,-3.33,藍皮解憂號觀光列車從去年10月首航至今年6月，吸引逾3萬3000人次搭乘，雄獅旅行社乘勝追擊斥資2000餘萬在枋寮藝術村打造「藍皮意象館」，藉大型火車頭造型LED燈、Q版解憂月台與隱藏版地景藝術，搶攻後疫情觀光市場。
2022-07-23,-3.23,邊境管制持續鬆綁、國門開放，赴海外旅遊指日可待。旅行業者預期，相關禁令全面鬆綁後，帶動的報復性旅遊潮相當可觀，惟航空公司航班尚未完全恢復，釋出團體機位有限，包括鳳凰、雄獅、山富、易飛網、可樂旅遊、易遊網等業者，在爭取正常航班機位之外，同步採取包機模式，計劃在需求高的熱門時段推出旅行團，「包機大戰」蓄勢待發。
2022-08-03,-3.8,2022年「國際世界盃足球賽」將登場，預計11月21日（卡達當地時間11/20 19：00）至12月18日於卡達舉辦，由不同國家級的男子足球隊出戰比賽，每4年舉辦一次，為世界足壇規模最大、最具影響力的賽事。《TVBS新聞網》也特別整理賽事相關資訊，與您一同瘋世足。
2022-09-03,-8.26,新冠肺炎疫情對旅遊業造成嚴重衝擊，但對雄獅旅遊來說，卻是加速轉型及升級的最好時機，從疫情初期拋出「天助自助，求生三支箭齊發」概念，透過整合行銷案、欣食旅、商品部另闢新戰場，再到近期以「Regional Hub」和服務旅客為核心概念，以新型態、新商機、新常態，為旅客提供不間斷的多面向旅遊服務，期盼能在未來國境重新開放後，雄獅可以成為台灣觀光產業的「觀光聖山」。
2022-09-05,-3.75,2022年「國際世界盃足球賽」將登場，預計11月21日（卡達當地時間11/20 19：00）至12月18日於卡達舉辦，由不同國家級的男子足球隊出戰比賽，每4年舉辦一次，為世界足壇規模最大、最具影響力的賽事。《TVBS新聞網》也特別整理賽事相關資訊，與您一同瘋世足。。
2022-09-14,0.0,台鐵在新自強號上路後，陸續安排莒光號離開通勤使用編組，但莒光號沒有離開台灣人民眾的生活，台鐵與雄獅旅遊合作將莒光號改裝變成「兩鐵列車」，其中5節各有16座位、15個車架可供單車旅行者使用，雄獅旅遊推出「兩鐵旅遊列車」特色行程，即將於10月21日正式啟航，包含短程3日遊、環島7日遊，可搭著專用列車尋訪台灣各大知名自行車道，輕鬆完成環島夢想。
2022-09-17,-9.09,有民眾近期明明沒在網路上訂房，卻收到假冒是雄獅旅行社寄來的郵件，還說自己是業務員，但仔細一看內容，不僅有簡體字，寄件者的信箱格式也跟雄獅不同，最後還附上壓縮檔，還好民眾認出是詐騙沒點進去，對此，雄獅回應，應該是惡意侵擾，而資安專家也說，壓縮檔是為了躲避防毒軟體，萬一點開，可能會遭到遠端遙控。
2022-09-23,3.09,行政院22日指出，最快10月13日起入境檢疫由「3+4」改為「0+7」，並解除組團禁令，且日本也將自10月起進一步放寬入境措施，雖然詳細辦法尚待正式公布才得知，但旅行社宛如久旱逢甘霖紛紛啟動相關作業，包括鳳凰、山富、易飛網、東南與雄獅等旅行社，已加速人力補充、制定第一波主攻產品，擬具促銷計畫，期待國門一開全力搶攻境外旅遊商機。
2022-09-23,-2.02,台灣預計將於10月13日解封，返國不用再居家檢疫，而日本首相岸田文雄也宣布，研擬於10月11日取消入境人數上限，並開放國外旅客自由行、短期入境免簽證。雄獅旅遊表示，以往日本旅遊的自由行和團體佔整體營收超過4成，接下來鎖定賞楓、滑雪、跨年、農曆新年等熱門季節，預計這波政策開放將帶動赴日旅遊熱潮，今年底前日本旅遊業績可望恢復到疫情前3成左右。
2022-09-28,7.04,哈日族有福了！隨著日本宣布10/11起開放自由行、恢復免簽等政策，各大旅行社紛紛祭出超殺優惠，除了超值「機+酒」自由行套票外，還可用便宜價格加購各景點、主題樂園、交通工具等多項票卷，想出國的民眾建議把握旅遊平台促銷活動，趕緊手刀搶訂。
2022-09-29,-4.44,行政院今（29）日終於正式宣佈，入境旅客自10月13日起放寬為0+7新制、取消居家檢疫，並自同日起解除旅遊業者組團禁令。雄獅旅遊立刻隨即上架日韓、東南亞、美加、歐洲等商品，每人最低價起2萬有找。不過有許多民眾因為太久沒有出國護照可能已經過期或遺失，雄獅表示只要報名付訂國外團體旅遊商品就可以享有免費辦理護照服務。
2022-10-13,-4.0,今（13）日是0+7上路的第一天，同時台灣解除組團禁令，終於等到國境解封，雄獅旅遊也搶在今日推出首發團，前往疫後漲幅最小的泰國及馬來西亞，2團人數約 40人，有旅客也搶第一波要出國遊玩，甚至有人說等了好久終於可以出國，興奮到3天沒睡覺。
2022-10-14,-4.26,國境正式解封，跨境旅遊重新熱絡，雙向挹注台灣飯店業與旅遊業，雄獅近半個月進單數超過6000人；台北晶華酒店住房率約有7成、一半為國際旅客，君品酒店外國客的比重也陸續增加。
2022-10-27,0.0,證券交易所對雄獅（2731）違反重大訊息規定，處以新台幣3萬元違約金。
2022-11-25,0.0,後疫情時代觀光人潮回流，觀光業人力需求增，臺北城市科技大學觀光系，辦理學生實習暨就業菁英招募，由研發處指導，觀光系邀請旅行業及飯店、餐飲集團入校招募，包括雄獅、晶華、長榮集團、喜來登、鼎泰豐、JR東日本企業等70個企業，直接到校遴選實習及畢業就業同學，新鮮人起薪約36K。
2022-11-29,-11.88,雄獅旅行社遭網路駭客惡意攻擊電腦作業系統，目前接獲通報，不法人士有假冒謊稱為飯店員工、雄獅員工、銀行或信用卡客服人員等，並以訂單錯誤、重複扣款、提供特殊優惠等不實理由向消費者進行詐騙。雄獅旅行社根據不法人士詐騙手法研判，其不法利用的資料可能包括：近半年購買訂房、機票、票券、證照等訂單資料，涵蓋訂單聯絡人姓名、聯絡電話及購買商品內容，但不包括旅客信用卡交易訊息。
2022-11-29,-2.56,旅行社龍頭雄獅今天公告說明遭受網路駭客攻擊事件，資安團隊已全面啟動相關防禦機制，強調目前營運及出團狀況均正常，同時呼籲最近半年購買產品的民眾防範遭受詐騙。
2022-12-21,-1.89,搶攻疫後消費商機，雄獅集團加快腳步深耕國內「食、宿、遊、購、行」產業，並打造生活產業生態圈，旗下餐飲事業體欣食旅繼「gonna eat共樂遊」與「光一」兩品牌後，再創新品牌「Island133」並預計2023年首季開幕，另防疫期間雄獅董座王文傑個人購入與雄獅旅行社取得，位在金山、金門與澎湖的三家飯店，經拉皮整骨全面換裝後，亦將於2023年陸續開幕，正式跨足旅宿產業。
2022-12-26,5.97,隨著各國解除新冠病毒管制，旅遊業快速復甦，國內旅遊社龍頭雄獅集團宣布發放總金額超過1億元「年度激勵獎金」，另因應集團積極朝向生活產業發展，雄獅將於 2023年擴大徵才逾500人，除了旅遊及旅遊新創人才之外，也歡迎旅宿、餐飲、資訊科技等人才加入。
2023-01-05,-2.56,跨境旅遊自國門解封後出現曙光，惟現階段國際航空運能仍不足，加上受全球通膨、燃油價格上漲等影響，交通運輸成本增加，同時人事成本亦上漲，雄獅旅行社發言人、總經理賴一青4日表示，預估赴海外旅遊市場暑假才會「康復」並慢慢出現高峰，但旅行團團費恐「全年都很難調降」。
2023-01-22,-3.57,台灣T1職籃在農曆新年期間，特別安排了2個禮拜的休息時間，其中效力於桃園雲豹的明星中鋒「魔獸」霍華德（Dwight Howard）則是悄悄地離開台灣，飛到了英國倫敦享受假期，並透過預錄影片向台灣球迷拜年。
2023-03-01,-1.37,看好澎湖的觀光發展前景，國內旅行社龍頭雄獅旅遊標下馬公港務大樓的飯店樓層，將打造成地標型港灣海景大飯店，雄獅董事長王文傑1日上午帶領約20人的團隊，到澎湖縣政府拜會縣長陳光復，也由於雄獅積極在澎湖旅遊市場深耕，調整公司發展方向，同時讓國內觀光產業再升級。
2023-03-13,0.0,"近來國內疫情趨緩，各國邊境逐漸解封，觸動國外旅遊熱潮，合庫銀行為滿足卡友跨境旅遊的需求，即日起至3月31日持合庫「雙幣卡」、「JCB利high卡」、「樂活卡」、「卡娜赫拉的小動物悠遊聯名卡」，於指定訂房網（Airbnb、Booking.com、Agoda、Trip.com、Hotels.com、Expedia、KKday）或指定旅行社（雄獅旅遊、東南旅遊、ezTravel易遊網、燦星旅遊、五福旅遊、長汎假期、ezfly易飛網、喜鴻旅遊、可樂旅遊）刷卡滿額並登錄成功，最高可享2,000元旅遊回饋金。"
2023-03-18,2.6,台北市首場大型就業博覽會今（18）日於圓山花博爭豔館登場，這次結合學生實習及就業機會，亮點企業包括台灣微軟、華碩電腦，以及疫後旅遊景氣復甦重啟實習招募的雄獅集團等，現場釋出9869個職缺，平均月薪38K、最高月薪上看200K，並提供1481個實習機會，幫助在學生、青年實習接軌職場。
2023-03-22,-3.85,為擴大布局觀光旅遊市場，雄獅集團旗下「旅天下聯合國際旅行社」21日宣布啟動IPO計畫，規畫第二季申請公開發行、第三季登錄興櫃，力拚成為疫後首間掛牌旅行社，雄獅也將成為有二個上市櫃旅行社的集團。
2023-04-13,-6.86,"隨著國境開放，看好疫後旅遊商機，星宇航空與雄獅旅遊從4月1日開始，聯手獨家推出「關島包機」自由行，五天四夜只要29,900元起。麗寶集團同樣也看好關島地區的觀光產業發展，從2008年起便開始在關島佈局，以觀光勝地「杜夢灣」為基準點，陸續購置土地和不動產，產品類型以別墅、飯店、商場為主，目前購置的土地面積已經超過52,400坪，總投資金額約1億美金。"
2023-05-01,-1.82,線上旅展搭上母親節檔期，想要便宜出國就趁現在。雄獅旅遊推出線上旅展團體行程最高現折１萬元，自由行優惠下殺55起，還有日本票券買一送一。易遊網和長榮航空合作5月19日前推出「長榮帶媽媽去旅行」主題企劃，預訂6月底前出發的長榮機票，有超過20個航點祭出優惠價外，飛日本、飛東南亞最低萬元有找，再抽「OSIM按摩椅墊」、「長榮機上購物金5千元」及「知名連鎖咖啡券」。
2023-05-04,0.0,看好台灣具亞洲第二大郵輪客源地優勢，全球第三大郵輪MSC地中海郵輪集團旗下「MSC地中海榮耀號」預計2024年進軍台灣市場，設計推出業界首創「基隆－那霸」雙母港航線，並推出12趟5至6日行程，為台灣旅客帶來最新的郵輪體驗，同時帶動入境觀光商機。該航線即日起由東南、信安、巨大、喜鴻、行家、雄獅共6家業者組銷售聯盟共同銷售。
2023-05-08,-3.85,雄獅今（8）日無預警傳出被檢警搜索。對此，雄獅回應，目前已配合調查，並依法發布重大訊息，由於調查過程不公開，所以不方便說明被調查原因 ，對公司財務業務不會造成影響。
2023-05-09,0.0,「雄獅旅行社」涉詐領勞動部補助，近日遭檢警查緝，勞動部勞動力發展署北基宜花金馬分署表示，2020年專案清查時發現雄獅公司涉以提供不實資料向北分署申領訓練費用情事，2021年經北分署政風室主動移送檢調機關偵查，且於同年4月全數追回99萬餘元補助款。
2023-05-09,-2.55,雄獅旅遊3名員工以教育訓練名義，向勞動部申請補助，涉詐領補助款，金額高達99餘元，新北地檢署昨（8）日發動搜索，約談公司3名員工，全案朝偽造文書、詐欺等罪嫌偵辦。對此，勞動部今（9）日回應，該案是於2020年專案清查時發現，由勞動力發展署北分署主動移送檢調機關偵查，並於2021年4月將補助款全數追回。台股今（9）日加權指數開15702.26點，漲2.69點，開盤1分鐘後漲幅擴大至30點，搶站15700關卡。台積電（2330）漲3元至507元；鴻海（2317）開105元平盤；聯發科漲6元至681元；大立光（3008）漲10元至2010元。雄獅（2731）雖營收年增901.06%，創疫後新高，但昨（8）晚3名公司職員涉詐領數萬元課程補助費，遭檢警搜索，今早開盤下跌3元至177元。雄獅旅行社員工涉嫌向勞動部詐領約新台幣數萬元補助費，檢警拘提周姓業務主管、劉姓會計與邵姓承辦人到案，檢方認3人涉犯加重詐欺等罪嫌，複訊後各10萬交保。
2023-05-10,-2.7,雄獅旅行社基層員工疑似詐領勞動部勞動力發展署申請補助教育訓練費用，8日遭新北地方法院檢察署搜索。勞動部9日表示，這案子主要發生在2019年，2020年專案稽核時發現異常，發展署也依照規定移送，針對雄獅的職業訓練計畫已停權2年、勞動部未來也會將雄獅所有相關計畫列為高風險單位、加強稽查。
2023-05-25,0.0,2023TTE台北觀光博覽會將於5月26日登場，雄獅旅遊提早自4月23日線上旅展開跑，統計整體業績較2019年線上旅展同期成長4成，顯示旅客轉往線上購買旅遊商品需求大幅增加；其中以適合親子共遊的日本樂園類行程，以及中東歐的行程最具人氣。此外，韓國和東南亞地區，受惠於航班恢復速度快，且團費漲幅較小，也逐漸受到青睞。為延續線上旅展買氣，加碼5月26日至29日每日上午10點開放限時搶購，沖繩、首爾、曼谷及宿霧自由行商品每人9999元起，四城市各限量10組。
2023-06-20,-0.66,"雄獅攜手挪威郵輪搶攻明年郵輪商機。（記者王憶紅攝）〔記者王憶紅／台北報導〕雄獅看好台灣及亞洲各市場郵輪市場商機，將攜手全球前三大郵輪集團之一的「挪威郵輪控股集團（Norwegian Cruise Line Holdings Company）」啟動包船計劃，獨家引進最新「挪威奮進號Norwegian Spirit」，在2024年以基隆、高雄雙母港推出26趟次航程。雄獅董事長王文傑指出，雄獅及挪威郵輪攜手引進挪威奮進號前來亞洲，配合亞洲各市場的旅遊復甦、台灣市場2024預期快速成長的獎勵旅遊、個人及家庭旅遊需求，結合港口經濟及周邊觀光資源，預估將為台灣創造逾20億元的郵輪產業商機。雄獅集團董事長王文傑表示，台灣位處連接東北亞、東南亞的樞紐地帶、具有絕佳的地理位置優勢，是各大郵輪公司積極爭取的亞洲郵輪市場新藍海。本次與挪威郵輪進行戰略合作，共同推動「挪威奮進號Norwegian Spirit」前來亞洲，除讓台灣旅客愛上郵輪旅遊，也可望吸引外國旅客，成為台灣的旅遊亮點。請繼續往下閱讀...王文傑說，與挪威郵輪的夥伴關係將是長期的，而挪威奮進號包船只是第一步，未來也將運用集團及各海外公司加強宣傳、策劃，推動Fly Cruise吸引更多國際旅客來台，持續提供升級版的郵輪旅遊體驗，為台灣開啟「郵輪旅遊體驗新時代」。挪威郵輪銷售及行銷長暨國際副總裁Jason Krimmel表示，與雄獅旅遊結盟，利用雙方的優勢，首次以台灣作為母港，佈局亞洲市場；亞洲一直是挪威郵輪相當重要的旅遊客源市場，其中，台灣郵輪市場復甦強勁，加上看好台灣旅客對郵輪旅遊的喜愛，因此選擇於2024年以基隆、高雄雙母港作為重返亞洲市場的第一站，透過挪威郵輪及雄獅旅遊雙方力量加乘，台灣及亞洲消費者的郵輪旅遊體驗將被升級並重新定義。「挪威奮進號Norwegian Spirit」在疫情期間斥資超過1億美元全新改裝，2022年起定期於北美（加拿⼤－美國）、紐澳航⾏，從未航⾏⾄亞洲地區，預計2024年6月至9月首航台灣，共計26航次，同時首創升級版的日本石垣島、澎湖「台日跳島」新玩法，以及郵輪旅遊重度玩家喜愛的9天8夜長天數商品，走訪佐世保、長崎、鹿兒島、釜山及濟州島，橫跨日、韓兩國。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法雄獅今日舉行股東會。圖為董事長王文傑（雄獅提供）〔記者王憶紅／台北報導〕雄獅（2731）於今（20）日召開股東會，雄獅集團董事長王文傑表示，雄獅旅遊5月營收續創疫後新高，主要是受惠於國際航班恢復以及獎勵旅遊大單，且看準包機市場商機，同步推出多個日本二線城市如熊本、青森、名古屋、富山、松山、徳島、福岡及關島包機，整體營收約回到疫情前60%，暑假檔期歐洲7至9月幾乎完銷，目前訂單已收至第4季，預估歐洲今年度將恢復90%，東北亞及東南亞7月賣況也達80%以上，全年樂觀以對。王文傑說，在2020年發生疫情後，觀光旅遊產業遭遇世紀重創，隨著國門打開疫情解封，相信會迎來一個非常好的產業榮景，因為旅遊生活仍舊是全球人類必需品。請繼續往下閱讀...王文傑表示，雄獅表示自2022年第4季解封後，出境團體及自由行營收陸續恢復動能，2023上半年歐洲及日本市場需求持續增強，東南亞也有明顯提升，且透過包機持續擴大營收，除出境市場外，雄獅仍持續深耕台灣國內旅遊，深化鐵道觀光佈局，主打低碳旅遊趨勢，目前國內外團體及自由行皆穩定成長中。王文傑指出，目前7-9月歐洲團近完銷，東北亞、東南亞團7月訂單也達80%以上，而雄獅同步深耕主題旅遊，推出南美洲單國深度遊，如秘魯、墨西哥及阿根廷等，馬拉松及登山等運動主題也持續發展，其中富士山登山7、8月份更收到超過千人報名，更獨家與緯來體育台合作帶旅客前進F1賽車2023年拉斯維加斯大獎賽現場，加上郵輪市場逐漸復甦，對於2023年整體營收狀況樂觀以對。另外，2015年雄獅藉由生態系經營打造旅天下品牌，隨著現今邁入共享經濟，台灣旅遊業具有強韌的中小企業特性，旅天下的創新讓有能力的業者能共同擁有品牌，相信對於總體台灣旅遊產業的品質提升與國際化非常重要，且未來雄獅面對快速變動的趨勢，持續進行轉型推動，願景是打造具備國際化、數位化、資本化的生活產業集團，另外也投資AsiaYo、豐趣科技、薰衣草森林等，創造更多高價值旅遊服務體驗，積極面向未來。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法"
2023-06-21,-1.05,"雄獅攜手挪威郵輪集團啟動包船計畫。圖右至左分別為雄獅郵輪事業發展處總經理劉曉寧、雄獅董事長王文傑、挪威郵輪銷售及行銷長暨國際副總裁Jason Krimmel、包船獎勵部門總監Neil Brodie。（記者王憶紅攝）〔記者王憶紅／台北報導〕雄獅旅遊（2731）集團董事長王文傑表示，雄獅5月營收續創疫後新高，約回到疫情前60%，暑假檔期7至9月的歐洲團幾乎完銷，訂單能見度看到第4季，預估今年歐洲團將恢復到90%，而東北亞、東南亞團7月銷售也達80%以上，隨著國門開啟、疫情解封，相信旅遊業會迎來一個非常好的榮景，對全年營運樂觀以對。雄獅昨宣布攜手全球前三大郵輪集團之一的挪威郵輪控股集團啟動包船計畫，獨家引進最新「挪威奮進號Norwegian Spirit」，在2024年以基隆、高雄雙母港推出26趟次航程。王文傑指出，在亞洲各市場旅遊復甦以及明年台灣在快速成長的獎勵旅遊、個人及家庭旅遊需求，結合港口經濟及周邊觀光資源，預估挪威奮進號將為台灣創造逾20億元的郵輪產業商機。請繼續往下閱讀...法人指出，受惠出境旅遊暢旺，雄獅第2季營運較第1季更樂觀，且今年團費平均較疫情前成長30%以上，雄獅今年營收恢復到疫情前的70%可期，而明年在郵輪商機挹注下，可望帶動營收再加溫。另外，雄獅小金雞旅天下（6961）預估第3季登錄興櫃，而旅天下在積極與航空公司推動包機合作下，今年營收可望恢復到2019年水準。王文傑表示，今年上半年歐洲、日本市場需求持續增強，東南亞也有明顯提升，目前國內外團體及自由行皆穩定成長，其中，7~9月歐洲團近完銷，東北亞、東南亞團7月訂單也達80%以上；在主題旅遊方面，南美洲單國深度遊，如秘魯、墨西哥及阿根廷等，以及馬拉松、登山等運動主題也持續發展，加上郵輪市場逐漸復甦，對今年整體營運樂觀以對。一手掌握經濟脈動
    點我訂閱自由財經Youtube頻道不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法"
